timestamp,gyroscopeX,gyroscopeY,gyroscopeZ,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,kinematicsX,kinematicsY,kinematicsZ,altitude,gpsFix,gpsNumSat,gpsLat,gpsLon,gpsAlt,gpsSpeed,gpsGroundCourse,voltage,amperage,mAhdrawn,rssi,RC0,RC1,RC2,RC3,RC4,RC5,RC6,RC7,Motor0,Motor1,Motor2,Motor3,Motor4,Motor5,Motor6,Motor7,Debug0,Debug1,Debug2,Debug3
1468415525180,-0.7317073170731708,0.24390243902439027,0.9756097560975611,0.005859375,-0.021484375,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525190,-0.7317073170731708,0.24390243902439027,0.9756097560975611,0.005859375,-0.021484375,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525200,-0.48780487804878053,0.7317073170731708,0.9756097560975611,0.00390625,-0.017578125,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525210,-0.48780487804878053,0.7317073170731708,0.9756097560975611,0.00390625,-0.017578125,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525220,-0.48780487804878053,0,0.7317073170731708,0.00390625,-0.015625,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525230,-0.48780487804878053,0,0.7317073170731708,0.00390625,-0.015625,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525240,-0.48780487804878053,0.24390243902439027,0.7317073170731708,0.005859375,-0.015625,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525250,-0.48780487804878053,0.24390243902439027,0.7317073170731708,0.005859375,-0.015625,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525260,-0.48780487804878053,-0.24390243902439027,0.9756097560975611,0.00390625,-0.01953125,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525274,-0.48780487804878053,-0.24390243902439027,0.9756097560975611,0.00390625,-0.01953125,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525280,-0.48780487804878053,-0.24390243902439027,0.48780487804878053,0,-0.009765625,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525290,-0.48780487804878053,0,0,0,-0.01171875,0.982421875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525300,-0.48780487804878053,0,0,0.001953125,-0.013671875,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525310,-0.48780487804878053,0,0,0.001953125,-0.013671875,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525320,-0.48780487804878053,0.24390243902439027,0,0.00390625,-0.015625,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525330,-0.48780487804878053,0.24390243902439027,0,0.00390625,-0.015625,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
