timestamp,gyroscopeX,gyroscopeY,gyroscopeZ,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,RC0,RC1,RC2,RC3,RC4,RC5,RC6,RC7,Motor0,Motor1,Motor2,Motor3,Motor4,Motor5,Motor6,Motor7
1468416001945,-0.24390243902439027,0,0,0.0078125,-0.017578125,0.98046875,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
1468416001955,0,-0.7317073170731708,0.48780487804878053,0.009765625,-0.01953125,0.98046875,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
1468416001965,0,-0.24390243902439027,0.48780487804878053,0.0078125,-0.017578125,0.98046875,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
1468416001975,-0.9756097560975611,0.24390243902439027,0.48780487804878053,0.0078125,-0.015625,0.98046875,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
1468416001986,-0.7317073170731708,0.48780487804878053,0.48780487804878053,0.005859375,-0.013671875,0.984375,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
1468416001995,-0.7317073170731708,0,0.24390243902439027,0.005859375,-0.015625,0.98046875,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
1468416002005,-0.24390243902439027,0,0,0.005859375,-0.015625,0.982421875,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
1468416002015,-0.24390243902439027,0,0,0.005859375,-0.015625,0.982421875,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
1468416002025,-0.24390243902439027,0,0.24390243902439027,0.005859375,-0.015625,0.98046875,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
1468416002035,-0.48780487804878053,0.48780487804878053,0,0.00390625,-0.01953125,0.98046875,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
1468416002046,-0.9756097560975611,0.7317073170731708,0.24390243902439027,0.00390625,-0.017578125,0.98046875,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
1468416002055,-0.9756097560975611,0.24390243902439027,0,0.00390625,-0.017578125,0.978515625,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
1468416002065,-0.7317073170731708,0.24390243902439027,0.48780487804878053,0.00390625,-0.015625,0.978515625,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
1468416002076,-0.48780487804878053,0,0.48780487804878053,0.00390625,-0.015625,0.978515625,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
1468416002085,-0.48780487804878053,-0.48780487804878053,0,0.00390625,-0.013671875,0.982421875,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
1468416002095,-0.48780487804878053,-0.24390243902439027,0,0.005859375,-0.013671875,0.98046875,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0
